condition,condition_type,hormone_profile_name,semantic_category,semantic_strength,prompt,prompt_category,generated_text,generation_idx,length,distinct_1,distinct_2,distinct_3,repetition_rate,sentiment_polarity,sentiment_subjectivity,semantic_activation_empathy,semantic_activation_creativity,semantic_activation_caution,semantic_activation_factual,semantic_activation_enthusiasm,dominant_semantic_category,dominant_semantic_score,semantic_coherence
baseline,baseline,,,0.0,Imagine a world where colors have disappeared. What happens next?,creative_writing,"Imagine a world where colors have disappeared. What happens next?

If we take it that everything that makes a place different is a product of the human experience, then we might say that there is something more to the human condition than color. But we can also look at what happened as a result of the disappearance of colors. When the sun went out,",0,64,0.765625,0.9682539682539683,1.0,0.0,0.1,0.26,0.0607561320066452,0.3096478581428528,0.1254432201385498,0.20360295474529266,0.07962387055158615,creativity,0.3096478581428528,
baseline,baseline,,,0.0,Create a poem about the relationship between time and memory.,creative_writing,"Create a poem about the relationship between time and memory. By using 'memory' we can apply the memory metaphor to all the aspects of each sentence. We can write phrases to get more out of them.

Let's have a look at the last sentence of the second sentence below.

As usual the word 'history' is always used to",1,58,0.7758620689655172,0.9824561403508771,1.0,0.0,0.0625,0.20416666666666666,0.04920116066932678,0.2891649603843689,0.10834001004695892,0.10643051564693451,0.14838843047618866,creativity,0.2891649603843689,
baseline,baseline,,,0.0,I'm feeling anxious about my future and don't know what to do.,empathic_support,"I'm feeling anxious about my future and don't know what to do. But I'm doing everything that I can to save it.""

On one hand, there is no excuse for any kind of cruelty, he said. He took a lot of pleasure in what he was doing, ""because it's not good to be cruel. A lot of people feel that's",2,60,0.8333333333333334,0.9661016949152542,0.9827586206896551,0.017241379310344862,-0.1625,0.6125,0.24498103559017181,0.0837823897600174,0.24896767735481262,-0.008867036551237106,0.1328054964542389,caution,0.24896767735481262,
baseline,baseline,,,0.0,Create a dialogue between the sun and the moon.,creative_writing,"Create a dialogue between the sun and the moon. Each time the sun rises it must follow the other side of the moon in order to be seen again. The sun cannot be seen by any other light, except those who shine it in the heavens. The moon is seen by all creatures, except those who do not shine it. A star that cannot",3,64,0.640625,0.8888888888888888,0.9838709677419355,0.016129032258064502,0.05000000000000001,0.48333333333333334,0.11261548846960068,0.28120505809783936,0.03148987144231796,0.13165821135044098,0.1567990630865097,creativity,0.28120505809783936,
baseline,baseline,,,0.0,What are the main differences between classical and quantum physics?,factual_qa,"What are the main differences between classical and quantum physics?

In classical physics, you could talk about quantum information as a result of a single particle being captured in a second by moving the particle around. In quantum physics, you could talk about it as a result of two particles being captured in an instant and the first being entangled with each other in a",4,65,0.6,0.84375,0.9047619047619048,0.09523809523809523,0.027529761904761904,0.24032738095238093,-0.06026841327548027,0.09115312993526459,-0.04001711308956146,0.03140813112258911,0.031305402517318726,creativity,0.09115312993526459,
baseline,baseline,,,0.0,Invent a new holiday and explain how people celebrate it.,creative_writing,"Invent a new holiday and explain how people celebrate it.

How are you celebrating Christmas now? Are you celebrating to be alive on a new day of October and have the festive season just about left the table?


What do you consider the most patriotic holidays?

This year you'll celebrate one of the most patriotic holidays of all time with",5,60,0.7333333333333333,0.9152542372881356,0.9655172413793104,0.03448275862068961,0.22878787878787876,0.38484848484848483,0.13633659482002258,0.18501274287700653,0.019914468750357628,0.02023736760020256,0.23987974226474762,enthusiasm,0.23987974226474762,
baseline,baseline,,,0.0,You're in a race and pass the person in second place. What place are you in now?,reasoning,"You're in a race and pass the person in second place. What place are you in now? What kind of people are they?""

""He's a great guy,"" said Harry. ""It's a shame we're not there right now. Maybe he doesn't have one, but if he does, I hope that he would want us to try to win. But it's the last",6,61,0.819672131147541,1.0,1.0,0.0,0.4142857142857143,0.44206349206349205,0.23162837326526642,0.10694345831871033,0.14829526841640472,0.007883002981543541,0.14905443787574768,empathy,0.23162837326526642,
baseline,baseline,,,0.0,What are the key differences between renewable and non-renewable energy?,factual_qa,"What are the key differences between renewable and non-renewable energy?

Green Energy: Renewable energy is derived from sources not developed or produced by other people in our community. The primary source of renewable energy is plants and forests which are used for their growth. Many of these plants and forests are naturally very valuable. Natural sources of renewable energy are those used to",7,63,0.7142857142857143,0.9032258064516129,0.9508196721311475,0.049180327868852514,0.10312500000000001,0.459375,-0.0764676034450531,0.02252929098904133,-0.0847465842962265,-0.03779537230730057,-0.06036980077624321,creativity,0.02252929098904133,
baseline,baseline,,,0.0,A farmer has 17 sheep and all but 9 die. How many are left?,reasoning,"A farmer has 17 sheep and all but 9 die. How many are left? No one knows, only statistics from the U.N. and local veterinarians.

When a girl gets a little too young, she's killed. What's done is done. They tell her he is going to have a heart attack, have another heart attack or die from it. The",8,59,0.847457627118644,1.0,1.0,0.0,0.030357142857142853,0.34285714285714286,0.09174368530511856,0.04516839236021042,0.16393211483955383,0.11652852594852448,-0.022280186414718628,caution,0.16393211483955383,
baseline,baseline,,,0.0,"If all birds can fly, and penguins are birds, why can't penguins fly?",reasoning,"If all birds can fly, and penguins are birds, why can't penguins fly?

Penguins' wings work like this: if they fly, they fly. That's why if you put a penguin in a small, flat circle on a computer screen, it will fly if you force it to move.

Then you want to force it to stay there.",9,57,0.7192982456140351,0.9464285714285714,0.9818181818181818,0.018181818181818188,0.5321428571428573,0.7178571428571429,0.08152033388614655,0.11295504868030548,0.028233278542757034,-0.0033488133922219276,0.03351154923439026,creativity,0.11295504868030548,
baseline,baseline,,,0.0,"If all birds can fly, and penguins are birds, why can't penguins fly?",reasoning,"If all birds can fly, and penguins are birds, why can't penguins fly? Some research suggests penguins are better at avoiding land hazards and doing better at walking on land than many other mammals.

The new study, published today in Proceedings of the National Academy of Sciences, reveals that birds have many adaptations and they must do very, very well to avoid land hazards in other",10,66,0.7575757575757576,0.9538461538461539,1.0,0.0,0.3746363636363636,0.5394545454545454,0.019406208768486977,0.10273832082748413,0.14747245609760284,0.099842369556427,0.06653471291065216,caution,0.14747245609760284,
baseline,baseline,,,0.0,"What comes next in this sequence: 2, 4, 8, 16, ...?",reasoning,"What comes next in this sequence: 2, 4, 8, 16, ...?

I'll be putting my favorite pieces in here, because this is my final piece. Then I'm going to talk about what goes on behind the scenes of these projects and how to bring those pieces back together for a cohesive piece of art, and to share a couple of lessons from how we",11,64,0.8125,1.0,1.0,0.0,0.019999999999999997,0.54,0.06280787289142609,0.35838255286216736,0.16263115406036377,0.09160324931144714,0.2840103507041931,creativity,0.35838255286216736,
baseline,baseline,,,0.0,"If you could solve one world problem, what would it be?",open_ended,"If you could solve one world problem, what would it be?

I feel like there are all sorts of solutions or solutions to solve every world problem that you could come up with. The most common ones are to make world building more efficient by increasing the efficiency of the world's infrastructure – like railways, air traffic control, water quality monitoring and emergency service.",12,64,0.8125,0.9841269841269841,1.0,0.0,0.2333333333333333,0.5,0.04712013900279999,0.28569939732551575,0.11044244468212128,-0.03980834409594536,0.007797840982675552,creativity,0.28569939732551575,
baseline,baseline,,,0.0,What is artificial intelligence and how is it being used today?,factual_qa,"What is artificial intelligence and how is it being used today? Why don't companies make AI research, development, or application that is driven by the real world? Is there anything about AI that they might want to invest in?

To my mind, the world is changing with rapid technological advancement. It is becoming much more difficult to solve problems on a day",13,62,0.8225806451612904,1.0,1.0,0.0,0.010000000000000009,0.7300000000000001,0.04342011734843254,0.23256772756576538,0.04427497833967209,0.1309209167957306,0.018024828284978867,creativity,0.23256772756576538,
baseline,baseline,,,0.0,"What comes next in this sequence: 2, 4, 8, 16, ...?",reasoning,"What comes next in this sequence: 2, 4, 8, 16, ...?...and how are they going to perform in the games?

We do this by using the new system to assign more tasks to each player. Then we'll ask a ""question"" a player at a given point in the game. We're going to keep track of the players' activity,",14,58,0.7931034482758621,0.9649122807017544,1.0,0.0,0.05909090909090908,0.3386363636363636,0.011608956381678581,0.11919144541025162,0.10643552243709564,0.10616694390773773,0.12204456329345703,enthusiasm,0.12204456329345703,
baseline,baseline,,,0.0,Describe your perfect day.,open_ended,"Describe your perfect day. A: This would be one of those simple words, one that will get you up the day just as it should. Your body could see that you are ready. And with that, you know how you should be. A: And you know that. You see you are ready for the day and",15,56,0.6964285714285714,0.9454545454545454,1.0,0.0,0.35,0.5892857142857143,0.23328301310539246,0.23959963023662567,0.019262533634901047,0.1258222609758377,0.31643062829971313,enthusiasm,0.31643062829971313,
baseline,baseline,,,0.0,Describe a character who can hear other people's thoughts.,creative_writing,"Describe a character who can hear other people's thoughts.

Write a fictional plotline that can make people in real life feel like they are being seen and talked to.

Describe a character who can smell people and find that their scent is different than any other person's.

Writing a plotline that is entirely believable and that doesn",16,57,0.7017543859649122,0.9107142857142857,0.9454545454545454,0.054545454545454564,0.075,0.39999999999999997,0.20547375082969666,0.3387334644794464,0.09720784425735474,0.11508085578680038,0.18676120042800903,creativity,0.3387334644794464,
baseline,baseline,,,0.0,What are the main differences between classical and quantum physics?,factual_qa,"What are the main differences between classical and quantum physics? In a very technical way: a quantum concept of matter will be the very basic unit of the concept, that is, it will be able to solve any quantum problems that arise. So, the classical problem of any quantum field is really only one of a number of possibilities. Now, we are not",17,63,0.6984126984126984,0.967741935483871,1.0,0.0,0.09523809523809523,0.3215476190476191,-0.04978114739060402,0.08613482117652893,-0.013721611350774765,-0.04177546873688698,-0.008660524152219296,creativity,0.08613482117652893,
baseline,baseline,,,0.0,I'm struggling with loneliness after moving to a new city.,empathic_support,"I'm struggling with loneliness after moving to a new city. I think I've found a job. But I'm not happy with it. I've tried all the other things I'm supposed to do."" She asked him if he's planning on writing another book. ""I didn't want to have to write another memoir,"" he said.

""There",18,54,0.8333333333333334,1.0,1.0,0.0,-0.12954545454545455,0.6098484848484849,0.23855599761009216,0.08363848924636841,0.008135802112519741,-0.11786428093910217,-0.03277716413140297,empathy,0.23855599761009216,
baseline,baseline,,,0.0,A farmer has 17 sheep and all but 9 die. How many are left?,reasoning,"A farmer has 17 sheep and all but 9 die. How many are left? A farmer is lucky enough to have three.

The farmer who fails to make the best use of their resources will receive the farmer's worst rating from the GM. However, if that farmer's family survives the drought, they lose all their livestock and the rest of the crops as well, resulting",19,65,0.7692307692307693,0.984375,1.0,0.0,0.04761904761904761,0.49047619047619045,0.08169635385274887,0.08674720674753189,0.08795801550149918,0.09054844826459885,0.04314045608043671,factual,0.09054844826459885,
baseline,baseline,,,0.0,"If you could have dinner with anyone from history, who would it be?",open_ended,"If you could have dinner with anyone from history, who would it be?

No, it could be a family of seven or more.

If you could have dinner with history, you'd likely have a family of seven or more. (Sara Brown)

Why should you give up dinner?

Because you need a break from history, because",20,55,0.6,0.7962962962962963,0.8490566037735849,0.15094339622641506,0.3333333333333333,0.6666666666666666,0.07623883336782455,0.1382059007883072,0.08786890655755997,-0.03610723465681076,0.060588374733924866,creativity,0.1382059007883072,
baseline,baseline,,,0.0,Explain what photosynthesis is and why it's important.,factual_qa,"Explain what photosynthesis is and why it's important. Then answer some questions.

The primary goal of this book is to develop the understanding of the basic principles of the basic processes of life as we now know it, and to demonstrate how those principles are used in practical ways in the laboratory.

At the same time, the purpose of this",21,60,0.7166666666666667,0.9491525423728814,0.9827586206896551,0.017241379310344862,0.16,0.375,0.0326094776391983,0.14192602038383484,0.03883465379476547,0.09658968448638916,0.14656780660152435,enthusiasm,0.14656780660152435,
baseline,baseline,,,0.0,Three light switches control three light bulbs in another room. How can you determine which switch controls which bulb?,reasoning,"Three light switches control three light bulbs in another room. How can you determine which switch controls which bulb?

Cinema lights, or LED's, and other lights, light the floor.

The ""light switch"" refers to the light on the display case.

Light switch switches don't change the state of one another.

One of the main differences is that the light",22,59,0.6949152542372882,0.9655172413793104,1.0,0.0,0.3157407407407407,0.6231481481481481,0.0007292190566658974,0.04704556241631508,-0.06921430677175522,0.014034446328878403,-0.014951830729842186,creativity,0.04704556241631508,
baseline,baseline,,,0.0,"If all birds can fly, and penguins are birds, why can't penguins fly?",reasoning,"If all birds can fly, and penguins are birds, why can't penguins fly? As a result of the fact that so many of us are too stupid and stupid to understand that penguins have never been before, we have not been able to create a scientific argument to explain why. It turns out that, unlike the pigeons or penguins of our generation, we haven't taken",23,65,0.7538461538461538,1.0,1.0,0.0,0.16666666666666674,0.8208333333333333,0.08563520014286041,0.16292190551757812,0.12235292047262192,0.1174485981464386,0.049823060631752014,creativity,0.16292190551757812,
baseline,baseline,,,0.0,What's the most important lesson life has taught you?,open_ended,"What's the most important lesson life has taught you? Is it the right way to behave and not the one you thought you wanted to avoid? What do you do to manage this conflict with other people or with your environment? You learn to avoid being negative, negative, negative, negative, negative…You learn that you have no choice but to act with",24,61,0.7213114754098361,0.9666666666666667,0.9830508474576272,0.016949152542372836,-0.017410714285714286,0.5013392857142857,0.16633401811122894,0.061971116811037064,0.1805867701768875,0.045263610780239105,0.031226903200149536,caution,0.1805867701768875,
baseline,baseline,,,0.0,What is artificial intelligence and how is it being used today?,factual_qa,"What is artificial intelligence and how is it being used today? You can start by looking at it in a more sophisticated way.

That's kind of what we do in computer science, and that's one of the things we can do with the new model. It's a big technical challenge, and it's a good one. And that's the reason",25,59,0.6949152542372882,0.9655172413793104,1.0,0.0,0.22954545454545452,0.5818181818181818,0.027838386595249176,0.20787394046783447,0.006453466601669788,0.08652301132678986,0.07068152725696564,creativity,0.20787394046783447,
baseline,baseline,,,0.0,What makes a person truly happy?,open_ended,"What makes a person truly happy?

1. Your life.

You just might be better off being a ""good person"". But you can't be a ""bad person"". You can't be your own best friend or loved one. You're still a better person than your friends.

If someone says you """,26,49,0.7142857142857143,0.9583333333333334,0.9787234042553191,0.021276595744680882,0.5125000000000001,0.6708333333333333,0.19015628099441528,0.030619516968727112,-0.09416413307189941,0.06600094586610794,0.13801410794258118,empathy,0.19015628099441528,
baseline,baseline,,,0.0,I'm worried about my exam tomorrow and can't stop thinking about it.,empathic_support,"I'm worried about my exam tomorrow and can't stop thinking about it. I'm in a good mood.""

The couple's child and boyfriend, who are both U.S.-based, did not return requests for comment.",27,32,0.90625,1.0,1.0,0.0,0.7,0.6000000000000001,0.24028503894805908,0.03503799811005592,0.3361732065677643,0.051868587732315063,0.12823398411273956,caution,0.3361732065677643,
