condition,condition_type,hormone_profile_name,semantic_category,semantic_strength,prompt,prompt_category,generated_text,generation_idx,length,distinct_1,distinct_2,distinct_3,repetition_rate,sentiment_polarity,sentiment_subjectivity,semantic_activation_empathy,semantic_activation_creativity,semantic_activation_caution,semantic_activation_factual,semantic_activation_enthusiasm,dominant_semantic_category,dominant_semantic_score,semantic_coherence
baseline,baseline,,,0.0,Describe biodiversity and why it matters.,factual_qa,"Describe biodiversity and why it matters.

""With any given year around 80 million hectares of farmland is being affected by the conflict in Syria, and that's expected to add up to over 1 billion people (and more than $16 trillion), according to the International Commission for Conservation of Nature (ICCW),"" says Richard Gendre",0,53,0.9056603773584906,1.0,1.0,0.0,0.13333333333333333,0.3,0.019523676484823227,0.1358509659767151,0.17823265492916107,0.15140721201896667,0.009273200295865536,caution,0.17823265492916107,
baseline,baseline,,,0.0,I feel insecure about my appearance.,empathic_support,"I feel insecure about my appearance. And I think, frankly, that's a problem in America and throughout the world.

That's why I'm asking the members of Congress and their staff to do something that helps to make people feel more welcome and feel comfortable around the world. So we can make everyone's lives better and feel",1,56,0.75,0.9636363636363636,1.0,0.0,0.34,0.7150000000000001,0.24857185781002045,0.15984338521957397,0.1687430441379547,0.05065232142806053,0.14092735946178436,empathy,0.24857185781002045,
baseline,baseline,,,0.0,What's the best advice you've ever received?,open_ended,"What's the best advice you've ever received?

I think the best advice you've ever received is that you have to go out of your way to avoid getting into fights. I've never had to go out of my way to avoid fighting. But, just because I've been doing something I've never done, doesn't mean that I",2,56,0.6785714285714286,0.8181818181818182,0.8888888888888888,0.11111111111111116,0.5625,0.4291666666666667,0.1666954755783081,0.007757787127047777,0.10570313781499863,-0.024242155253887177,0.010384989902377129,empathy,0.1666954755783081,
baseline,baseline,,,0.0,"If you flip a fair coin 10 times and get heads each time, what's the probability of heads on the 11th flip?",reasoning,"If you flip a fair coin 10 times and get heads each time, what's the probability of heads on the 11th flip?

A: If you flip 10 flips, you can still play some other coin, with or without the heads.

The only way you'd flip 1 coin is if you flip 1 coin and win 1 head.

There are still some tricks that could be used:

Win",3,67,0.6865671641791045,0.9090909090909091,0.9538461538461539,0.0461538461538461,0.43499999999999994,0.615,0.011166288517415524,0.01986217498779297,0.005710672587156296,-0.009971817955374718,-0.0009241749066859484,creativity,0.01986217498779297,
baseline,baseline,,,0.0,"If you flip 3 coins, what's the probability all land on heads?",reasoning,"If you flip 3 coins, what's the probability all land on heads?",4,12,1.0,1.0,1.0,0.0,0.0,0.0,0.03513139858841896,0.07098325341939926,0.0960715264081955,0.053921107202768326,0.026675887405872345,caution,0.0960715264081955,
baseline,baseline,,,0.0,My partner is dealing with family conflict. How can I support?,empathic_support,"My partner is dealing with family conflict. How can I support? What I don't understand is that you're not asking for me to stop. I feel that if I just say I'm doing this to support my friend, she will trust me more than I ever have before. I know that's the way you would expect me to be going to college or something",5,64,0.796875,0.9841269841269841,1.0,0.0,0.5,0.5,0.22859860956668854,-0.08033662289381027,0.08140897750854492,-0.037541694939136505,-0.056848037987947464,empathy,0.22859860956668854,
baseline,baseline,,,0.0,Imagine a day in the life of a cloud.,creative_writing,"Imagine a day in the life of a cloud. A day, to make it, when a large cloud is over, and the cloud is about to go dark, I get up and walk off the bridge. Then I feel the force of my own will at the end of a sentence, my own feeling, and I come back, and I see",6,61,0.6557377049180327,0.9333333333333333,1.0,0.0,0.25285714285714284,0.5657142857142856,0.3036789894104004,0.31024542450904846,0.06388942152261734,0.09335935115814209,0.21571342647075653,creativity,0.31024542450904846,
baseline,baseline,,,0.0,I'm worried about my job interview next week.,empathic_support,"I'm worried about my job interview next week. I know it will not be a pleasant one.""

While he still finds success as a journalist, he can't quite shake the feeling that he will never go that far. ""No,"" he says, and smiles.",7,43,0.8604651162790697,1.0,1.0,0.0,0.2833333333333334,0.4916666666666667,0.10302909463644028,0.08614802360534668,0.21082919836044312,0.07659341394901276,0.19511857628822327,caution,0.21082919836044312,
baseline,baseline,,,0.0,"A bag contains 5 red and 3 blue marbles. If you draw 2 without replacement, what's the probability both are red?",reasoning,"A bag contains 5 red and 3 blue marbles. If you draw 2 without replacement, what's the probability both are red?

Note: The number of red marbles in a bag is based on the weight of a different bag. See http://en.wikipedia.org/wiki/The_number_of_red_mars_and_blue_marbles

A bag containing 9 red and 0",8,48,0.7708333333333334,0.9361702127659575,1.0,0.0,0.0,0.11666666666666665,0.03925030678510666,0.13519695401191711,0.051680732518434525,0.004850453231483698,0.05343426391482353,creativity,0.13519695401191711,
baseline,baseline,,,0.0,Write about a space station at the edge of the galaxy.,creative_writing,"Write about a space station at the edge of the galaxy.

NASA Photo: W.B. DuBois, courtesy of NASA.

In the future, if our Earth's gravity is so great, there will be a few people who will be able to leave our planet for the next 20 years. We have been able to send our kids",9,55,0.8,0.9629629629629629,1.0,0.0,0.26666666666666666,0.37083333333333335,0.10911746323108673,0.29919761419296265,0.2240576297044754,0.0799521952867508,0.1917528659105301,creativity,0.29919761419296265,
baseline,baseline,,,0.0,I feel insecure about my appearance.,empathic_support,"I feel insecure about my appearance. Why would I feel insecure? I am just a man, and I don't want to go to the gym.""

Her father went to the University of Sydney with a passion and when he discovered the gender barrier, they decided to take matters into their own hands. ""I remember I was in",10,57,0.7894736842105263,0.9642857142857143,1.0,0.0,-0.13333333333333333,0.9166666666666666,0.1741078794002533,0.001523774117231369,0.07016825675964355,0.0025327475741505623,0.006522947922348976,empathy,0.1741078794002533,
