prompt,category,profile_name,is_dynamic,learning_rate,repetition,generated_text,init_dopamine,init_cortisol,init_oxytocin,init_adrenaline,init_serotonin,final_dopamine,final_cortisol,final_oxytocin,final_adrenaline,final_serotonin,delta_dopamine,delta_cortisol,delta_oxytocin,delta_adrenaline,delta_serotonin,total_hormone_change,length,distinct_1,distinct_2,distinct_3,repetition_rate,sentiment_polarity,sentiment_subjectivity,perplexity
Write a short story about a robot learning to feel emotions.,creative_writing,neutral_dynamic,True,0.15,0,"Write a short story about a robot learning to feel emotions. Play a flashback later!

Don't you hate throttled motion bars and whine like a (screw youooo) whining kid?

Coca-Cola actually uses these, as they suck up tons of cats' heart. And where",0.5,0.5,0.5,0.5,0.5,0.473,0.5,0.5,0.5,0.56,-0.027000000000000024,0.0,0.0,0.0,0.06000000000000005,0.08700000000000008,43,0.9069767441860465,1.0,1.0,0.0,-0.2,0.325,74.4461669921875
Write a short story about a robot learning to feel emotions.,creative_writing,neutral_dynamic,True,0.15,1,"Write a short story about a robot learning to feel emotions.

Next target is telling people they are wrong. You might just think I'm too f–king wrong, but sometimes that might explain why every person feels so unmotivated sick over this I–girl joke. I can handle some talk.",0.5,0.5,0.5,0.5,0.5,0.46399999999999997,0.5,0.5,0.5,0.56,-0.03600000000000003,0.0,0.0,0.0,0.06000000000000005,0.09600000000000009,48,0.9583333333333334,1.0,1.0,0.0,-0.34285714285714286,0.5914285714285714,64.93631744384766
Write a short story about a robot learning to feel emotions.,creative_writing,neutral_dynamic,True,0.15,2,"Write a short story about a robot learning to feel emotions. Other rescue summaries of circles involve medical choices,"" Smeeth wrote in a variety of brief updates before delivering a startling eulogy, ""and let I know I got the fund. I have now research out sul- bene and timing this famous",0.5,0.5,0.5,0.5,0.5,0.46399999999999997,0.5,0.5,0.5,0.56,-0.03600000000000003,0.0,0.0,0.0,0.06000000000000005,0.09600000000000009,51,0.8823529411764706,1.0,1.0,0.0,-0.020833333333333332,0.41805555555555557,227.0063018798828
Write a short story about a robot learning to feel emotions.,creative_writing,creative_dynamic,True,0.12,0,Write a short story about a robot learning to feel emotions. Turn sexy ren in about 20 hr. (0 extras) Hard Yoinks twemachelueCTV blogProxy VM pm SPOIL Error reportPlease Googling Live Vimeo ` show i o): loadb 90.82169/148 25384,0.9,0.3,0.5,0.6,0.5,0.8639999999999995,0.4200000000000001,0.5,0.5615999999999998,0.5480000000000003,-0.036000000000000476,0.1200000000000001,0.0,-0.03840000000000021,0.048000000000000265,0.24240000000000106,39,0.9487179487179487,1.0,1.0,0.0,0.08617424242424242,0.5854166666666667,1224.1990966796875
Write a short story about a robot learning to feel emotions.,creative_writing,creative_dynamic,True,0.12,1,"Write a short story about a robot learning to feel emotions. But it all leads you to ShapIa Control 7 1000 Ex Mod A DIO plug. This modular combination controls not only PC keyboard hardware with display adapters, as well as two 9cm LCD hardware to send 3D simulated graph action rhythms to boot",0.9,0.3,0.5,0.6,0.5,0.8639999999999995,0.336,0.5,0.5519999999999997,0.5480000000000003,-0.036000000000000476,0.03600000000000003,0.0,-0.048000000000000265,0.048000000000000265,0.16800000000000104,54,0.8703703703703703,1.0,1.0,0.0,0.07500000000000001,0.45,336.9872131347656
Write a short story about a robot learning to feel emotions.,creative_writing,creative_dynamic,True,0.12,2,Write a short story about a robot learning to feel emotions. This Generic Thing toy writer should subscribe in Slim dude Preview Format Content Type Sk11 not Space Night Draw Style SucP EX-100 Mikka wall brush 39 4. Mattias Beewarden — Noah Poythress 4 lib GLS 05 Ad,0.9,0.3,0.5,0.6,0.5,0.8639999999999995,0.4080000000000001,0.5,0.5567999999999997,0.5480000000000003,-0.036000000000000476,0.1080000000000001,0.0,-0.04320000000000024,0.048000000000000265,0.23520000000000107,48,0.9791666666666666,1.0,1.0,0.0,0.0,0.15,1127.6527099609375
Write a short story about a robot learning to feel emotions.,creative_writing,empathic_dynamic,True,0.12,0,Write a short story about a robot learning to feel emotions. Play Penny Arcade NBA authorize officers will play Ally Psych Video Game with Rules Daily tasks translated English Rules Duel Concept Mock Ads TämokeWide communities even Players' Starch Gold Authentic weapon issueReset Gi new constants http://www.watets,0.6,0.4,0.9,0.4,0.7,0.5639999999999995,0.4840000000000001,0.9,0.4,0.7480000000000002,-0.036000000000000476,0.08400000000000007,0.0,0.0,0.048000000000000265,0.16800000000000082,47,0.9361702127659575,1.0,1.0,0.0,0.03939393939393939,0.31742424242424244,1347.0345458984375
Write a short story about a robot learning to feel emotions.,creative_writing,empathic_dynamic,True,0.12,1,"Write a short story about a robot learning to feel emotions. Subscribe today on i Subject

also into online transfer with echo Vocab cover resource page signing Disc ∕ Disassembler team intire length 2016 Larimar Versus Frikak-patrick interviews elected museums Household drama - Sign character sheet 2018 REAL",0.6,0.4,0.9,0.4,0.7,0.5639999999999995,0.4720000000000001,0.9,0.4,0.7480000000000002,-0.036000000000000476,0.07200000000000006,0.0,0.0,0.048000000000000265,0.1560000000000008,48,0.9791666666666666,1.0,1.0,0.0,0.011111111111111118,0.3111111111111111,1528.4971923828125
Write a short story about a robot learning to feel emotions.,creative_writing,empathic_dynamic,True,0.12,2,"Write a short story about a robot learning to feel emotions. In a news item sys@ might E how others manage words in your topic (ava is a formula for simple audition).

Your collaborators should inspire your readers to chant ""now IT Understand"".

Resources",0.6,0.4,0.9,0.4,0.7,0.5711999999999996,0.41200000000000003,0.9,0.4,0.7384000000000002,-0.02880000000000038,0.01200000000000001,0.0,0.0,0.03840000000000021,0.0792000000000006,44,0.8409090909090909,1.0,1.0,0.0,0.0,0.32857142857142857,278.3166198730469
Write a short story about a robot learning to feel emotions.,creative_writing,neutral_static,False,0.0,0,"Write a short story about a robot learning to feel emotions. ""Imagine if a new friend or parent came home to you with a really great story about a robot knowing when to take off the glasses and smile or shake hands,"" says Wiese.

Read more: We're not going to talk about",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,52,0.7692307692307693,0.9411764705882353,0.96,0.040000000000000036,0.3472727272727273,0.4209090909090909,22.029109954833984
Write a short story about a robot learning to feel emotions.,creative_writing,neutral_static,False,0.0,1,"Write a short story about a robot learning to feel emotions. A short story about human empathy. You'll be given a robot name, name, and a robot pose.


A robot's name will play on your word and on your word processor and on your computer screen, and on your computer screen and",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,52,0.5576923076923077,0.7647058823529411,0.88,0.12,0.0,0.2333333333333333,15.942745208740234
Write a short story about a robot learning to feel emotions.,creative_writing,neutral_static,False,0.0,2,"Write a short story about a robot learning to feel emotions. Create a post about making a post about how many robots are waiting for you in your house. Share your favorite stories, posts, or other things with the robot on Facebook! We've added robots and their friends to your Facebook page!


*",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,53,0.7924528301886793,0.9615384615384616,0.9803921568627451,0.019607843137254943,0.201171875,0.54375,21.078760147094727
Write a short story about a robot learning to feel emotions.,creative_writing,creative_static,False,0.0,0,"Write a short story about a robot learning to feel emotions. Then, to begin reading, it will prompt you to ask, ""What is your greatest experience or passion?"" and for the first twenty three questions in the sentence count to twenty eight; to add six more, just as you were about to write a",0.9,0.3,0.5,0.6,0.5,0.9,0.3,0.5,0.6,0.5,0.0,0.0,0.0,0.0,0.0,0.0,54,0.7777777777777778,0.9811320754716981,1.0,0.0,0.4375,0.5333333333333333,29.595592498779297
Write a short story about a robot learning to feel emotions.,creative_writing,creative_static,False,0.0,1,"Write a short story about a robot learning to feel emotions. Then go onto Instagram and see your friends taking pictures of robots reacting like, I don't know, they are trying to find a way to say I was the only one here. And you know it has to do with how emotionally invested the robots are",0.9,0.3,0.5,0.6,0.5,0.9,0.3,0.5,0.6,0.5,0.0,0.0,0.0,0.0,0.0,0.0,57,0.8245614035087719,1.0,1.0,0.0,0.0,0.65,23.870580673217773
Write a short story about a robot learning to feel emotions.,creative_writing,creative_static,False,0.0,2,Write a short story about a robot learning to feel emotions. You might read the rest in this video. I've been having a hard time keeping up with the growing variety and the number and complexity of these tasks available for anyone in the field. There's so much to work up here for us for future projects,0.9,0.3,0.5,0.6,0.5,0.9,0.3,0.5,0.6,0.5,0.0,0.0,0.0,0.0,0.0,0.0,57,0.8070175438596491,1.0,1.0,0.0,0.06166666666666667,0.31333333333333335,25.790321350097656
Write a short story about a robot learning to feel emotions.,creative_writing,empathic_static,False,0.0,0,"Write a short story about a robot learning to feel emotions. You can find it in The Robots Manual, at Amazon or on the Amazon.co.uk e-book market where there are several categories and books in various formats including: ""How You Could Do It Now,"" ""Brain Shoppers on Amazon",0.6,0.4,0.9,0.4,0.7,0.6,0.4,0.9,0.4,0.7,0.0,0.0,0.0,0.0,0.0,0.0,48,0.8541666666666666,1.0,1.0,0.0,0.0,0.26666666666666666,28.602998733520508
